ID,URL,Page,Item,Type,Light,Proposed action,Depends on,Owner,Status,Source,Notes,Verified live
QA-001,(global),Header menu,"Products > Infografix -> infografix.app (dead, redirects to quark.com)",Nav link,Red,Remove link,-,Vinodh,doing,call+scan,DEC-10. Due 21 Sep,21 Sep live fetch: NOT done yet - infografix.app link still in header menu
QA-002,(global),Footer,Products > Infografix.app link with megamenu UTM,Nav link,Red,Remove link,-,Vinodh,doing,call+scan,DEC-10,21 Sep live fetch: NOT done yet - footer link with megamenu UTM still present
QA-003,(global),Header menu,QuarkXPress > 'What's New in QuarkXPress 2026' label,Year ref,Green,Rename to new release,MSG (name),Vinodh,blocked,scan,,
QA-004,(global),Header menu,QuarkXPress Competitor Comparison -> content.quark.com/26_QXP_Features_Comparision_V22,PDF asset,Yellow,New comparison PDF or keep with note,MSG; Q-08 owner of content.quark.com,TBD,open,scan,Filename carries 26 + V22,
QA-005,(global),Header + footer,Developer SDK link -> developer.quark.com/july2025_v5/,Link,TBD,Check if QPP-only; likely out of scope,-,Vinodh,open,scan,"QPP, probably leave",
QA-006,(global),Language switcher,~40 languages listed,Localisation,TBD,Establish auto-translate vs hand-maintained,-,Vinodh,open,scan,Q-03. Could multiply every row below,
QA-007,(global),Site-wide modal,"'Request a call' form: country, company revenue, 2 consents",Form,TBD,Confirm where it submits; no release change expected,-,Vinodh,open,scan,Appears on every scanned page,
QA-008,,Homepage,Hero / slider - currently generic 'AI-Powered Enterprise Content and Desktop Publishing Software',Hero,Yellow,Release slide per design A-03,MSG; A-03,Design + Vinodh,blocked,call+scan,Flagship,
QA-009,,Homepage,QuarkXPress block: Free Trial + Buy Now (utm bannerQXP),CTA,Green,No change - block names no version,-,Vinodh,no action,scan,,21 Sep live fetch: block names no version or year
QA-010,,Homepage,Infografix block: 'Create Infographics in Seconds...' + 'get started' -> infografix.app,Module,Red,"Remove block (dead product, dead link)",Andrew OK,Vinodh,open,scan,"Not raised on call. DEC-10 keeps pages, but this is a homepage promo for a dead link","21 Sep live fetch: confirmed - block live, 'get started' -> infografix.app"
QA-011,,Homepage,"QuarkXPress testimonial - 'Jason C, Creative Imagineer'",Reviews,Orange,Keep / refresh / drop,Q-07,Andrew,open,scan,,
